"Index","NStudiesWithValue","NStudiesFoundWithValue","FieldValue"
1,36,1,"Accidental Fall"
2,1,1,"Active Secondary Progressive Multiple Sclerosis"
3,1,1,"Acute Exacerbation of Remitting Relapsing Multiple Sclerosis"
4,3,1,"Acute Optic Neuritis"
5,6,1,"ADHD Predominantly Inattentive Type"
6,70,1,"Adherence, Medication"
7,18,1,"Adult Disease"
8,1,1,"Advanced Multiple Sclerosis"
9,1,1,"All Multiple Sclerosis Patients"
10,1021,2,"Alzheimer Disease"
11,956,2,"Alzheimer's Disease"
12,15,1,"Ambulation Difficulty"
13,494,2,"Amyotrophic Lateral Sclerosis"
14,979,1,"Anesthesia"
15,2,1,"Anorectal Disorders"
16,3,1,"Apraxia"
17,1,1,"Aquatic"
18,1,1,"Assessment of Arm and Hand Sensorimotor Functions in Multiple Sclerosis Subjects"
19,8,2,"Autoimmune"
20,148,2,"Autoimmune Diseases"
21,1,1,"Autologous Mesenchymal Stem Cells"
22,1,1,"Autonomic Nervous System Dysfunction"
23,84,1,"Balance"
24,6,1,"Balance Disorders"
25,54,2,"Balance; Distorted"
26,23,1,"Benign Paroxysmal Positional Vertigo"
27,1,1,"Biotine"
28,15,1,"Birth Defects"
29,21,4,"Bladder Dysfunction"
30,1,1,"Bladder Dysfunction on Patients With Multiple Sclerosis"
31,2,1,"Brain Atrophy"
32,99,1,"Brain Injury"
33,7,1,"Caloric Restriction"
34,44,1,"Cannabis Use Disorder"
35,58,1,"Caregivers"
36,1,1,"Central Nervous System (CNS) Demyelinating Disease"
37,6,1,"Central Nervous System Disease"
38,6,1,"Central Neuropathic Pain"
39,1,1,"Central Neuropathic Pain in Multiple Sclerosis"
40,1,1,"Cerebelar Impairment"
41,26,1,"Cerebellar Ataxia"
42,5,1,"Cerebral Lesion"
43,701,1,"Cerebral Palsy"
44,3,1,"Chronic Cerebrospinal Venous Insufficiency"
45,10,1,"Chronic Conditions, Multiple"
46,1,1,"Chronic Dysphagia"
47,1,1,"Chronic Optic Neuropathy in Multiple Sclerosis"
48,1142,2,"Chronic Pain"
49,1,1,"Clinical Isolated Syndrome (CIS)"
50,1,1,"Clinical Isolation Syndrome of Spinal Cord"
51,32,26,"Clinically Isolated Syndrome"
52,5,3,"Clinically Isolated Syndrome (CIS)"
53,2,1,"Clinically Isolated Syndrome, CNS Demyelinating"
54,1,1,"Clinically Isolated Syndromes"
55,1,1,"Clinically Isolated System"
56,107,1,"Cognition"
57,13,1,"Cognition - Other"
58,79,3,"Cognition Disorders"
59,27,1,"Cognitive Ability, General"
60,188,3,"Cognitive Decline"
61,21,2,"Cognitive Deficits"
62,29,2,"Cognitive Disorders"
63,142,1,"Cognitive Dysfunction"
64,479,14,"Cognitive Impairment"
65,1,1,"Cognitive Impairment in Multiple Sclerosis"
66,5,1,"Cognitive Rehabilitation"
67,24,1,"Compliance, Patient"
68,377,3,"Constipation"
69,4,1,"Controls"
70,1422,2,"COVID-19"
71,215,1,"Covid-19"
72,1,1,"COVID-19 (Severe Coronavirus Disease 2019)"
73,1937,4,"Covid19"
74,14,1,"CVA"
75,65,1,"Deglutition Disorders"
76,3,1,"Demyelinating Disease"
77,3187,9,"Depression"
78,133,1,"Depression, Anxiety"
79,271,1,"Depressive Disorder, Major"
80,11,1,"Detrusor Overactivity"
81,73,1,"Diet, Healthy"
82,11,1,"Dietary Supplement"
83,7,1,"Difficulty Walking"
84,1,1,"Early Single Relapse of Multiple Sclerosis"
85,1,1,"EDSS 4-7"
86,21,1,"Ehlers-Danlos Syndrome"
87,1,1,"Elderly Post Electric Convulsive Therapy"
88,16,1,"Emotional Disturbances"
89,38,1,"Encephalitis"
90,30,1,"Encephalopathy"
91,382,1,"Erectile Dysfunction"
92,42,1,"Erythema"
93,150,1,"Essential Tremor"
94,361,3,"Exercise"
95,9,1,"Exercise Intervention"
96,41,1,"Exercise Therapy"
97,5,1,"Exposure During Pregnancy"
98,89,1,"Fall"
99,606,29,"Fatigue"
100,3,3,"Fatigue in Multiple Sclerosis"
101,168,2,"Fecal Incontinence"
102,27,1,"Female Sexual Dysfunction"
103,15,2,"Foot Drop"
104,1,1,"Frequency of Infusion Reactions in Novel Versus Standard Protocol in Multiple Sclerosis"
105,66,1,"Frontotemporal Dementia"
106,42,1,"Gait"
107,83,7,"Gait Disorders, Neurologic"
108,1,1,"Gait Disturbance in Multiple Sclerosis Patients"
109,30,1,"Gait, Unsteady"
110,1,1,"Gilenya Modifying Therapy for MS"
111,763,1,"Glaucoma"
112,2,1,"Glial Fibrillary Acidic Protein"
113,21,1,"Guillain-Barre Syndrome"
114,232,1,"Headache"
115,8417,4,"Healthy"
116,53,2,"Healthy Controls"
117,1866,2,"Healthy Volunteers"
118,132,1,"Hemiparesis"
119,4,1,"Hereditary Ataxia"
120,15,1,"Hypogammaglobulinemia"
121,54,1,"Idiopathic Parkinson's Disease"
122,74,1,"Immune System Diseases"
123,1,1,"Impaired Processing Speed"
124,57,1,"Incontinence"
125,941,1,"Inflammation"
126,28,2,"Inflammatory Disease"
127,3,1,"Infusion Reaction"
128,594,1,"Insomnia"
129,38,1,"Insomnia Chronic"
130,1,1,"Internuclear Ophthalmoplegia"
131,25,1,"Learning"
132,3,1,"Lesions"
133,1522,1,"Leukemia"
134,7,1,"Low Bone Density"
135,6,1,"Low Grade Glioma of Brain"
136,167,5,"Lower Urinary Tract Symptoms"
137,1,1,"M-health"
138,186,1,"Macular Edema"
139,131,2,"Magnetic Resonance Imaging"
140,243,1,"Major Depression"
141,1263,2,"Major Depressive Disorder"
142,27,1,"Malignant Tumor"
143,35,1,"Memory"
144,56,1,"Memory Disorders"
145,54,1,"Memory Impairment"
146,326,1,"Menopause"
147,13,1,"Menstrual Cycle"
148,5,1,"Methylprednisolone"
149,532,1,"Migraine"
150,7,1,"Mitochondrial Alteration"
151,20,1,"Motor Disorders"
152,52,1,"MRI"
153,4,4,"MS"
154,8,5,"MS (Multiple Sclerosis)"
155,1,1,"MULTIPLE SCLEROSIS"
156,1714,1578,"Multiple Sclerosis"
157,31,25,"Multiple Sclerosis (MS)"
158,1,1,"Multiple Sclerosis (MS) - Relapsing-remitting"
159,1,1,"Multiple Sclerosis (Primary or Secondary Progressive Phase)."
160,2,2,"Multiple Sclerosis (Relapsing Remitting)"
161,1,1,"Multiple Sclerosis - Relapsing Remitting"
162,1,1,"Multiple Sclerosis Acute and Progressive"
163,1,1,"Multiple Sclerosis Healthy Subjects"
164,2,1,"Multiple Sclerosis in Children"
165,4,4,"Multiple Sclerosis Relapse"
166,1,1,"Multiple Sclerosis Subjects"
167,1,1,"Multiple Sclerosis With Central Neuropathic Pain"
168,1,1,"Multiple Sclerosis)"
169,3,3,"Multiple Sclerosis, Acute Relapsing"
170,13,13,"Multiple Sclerosis, Chronic Progressive"
171,1,1,"Multiple Sclerosis, Dimethyl Fumarate, Diffusion Tensor Imaging Magnetic Resonance Imaging"
172,1,1,"Multiple Sclerosis, Endurance"
173,1,1,"Multiple Sclerosis, MS"
174,1,1,"Multiple Sclerosis, Osteoporosis"
175,1,1,"Multiple Sclerosis, Pharmacokinetics"
176,17,16,"Multiple Sclerosis, Primary Progressive"
177,2,2,"Multiple Sclerosis, Progressive"
178,1,1,"Multiple Sclerosis, Relapse Free"
179,1,1,"Multiple Sclerosis, Relapsing"
180,1,1,"Multiple Sclerosis, Relapsing Forms"
181,1,1,"Multiple Sclerosis, Relapsing Forms of Multiple Sclerosis"
182,1,1,"Multiple Sclerosis, Relapsing MS, Advancing Multiple Sclerosis"
183,6,6,"Multiple Sclerosis, Relapsing Remitting"
184,1,1,"Multiple Sclerosis, Relapsing, Remitting"
185,168,164,"Multiple Sclerosis, Relapsing-Remitting"
186,7,7,"Multiple Sclerosis, Relapsing-remitting"
187,17,17,"Multiple Sclerosis, Secondary Progressive"
188,1,1,"Multiple Sclerosis-Relapsing-Remitting"
189,83,1,"Muscle Spasticity"
190,1,1,"Muscle Spasticity Due to Multiple Sclerosis"
191,4,1,"Muscle Strain"
192,5,1,"Musculoskeletal Complication"
193,77,1,"Myasthenia Gravis"
194,109,1,"Nervous System Diseases"
195,6,1,"Neuritis"
196,31,1,"Neuro-Degenerative Disease"
197,65,1,"Neurodegenerative Diseases"
198,1,1,"Neurofilament Light Chain"
199,65,4,"Neurogenic Bladder"
200,8,1,"Neurologic Disorders"
201,7,1,"Neurologic Symptoms"
202,26,1,"Neurological Disorder"
203,34,5,"Neuromyelitis Optica"
204,12,2,"Neuromyelitis Optica Spectrum Disorders"
205,1,1,"Neuromyelitis Optica."
206,7,1,"Neuronal Plasticity"
207,304,5,"Neuropathic Pain"
208,7,3,"NMO Spectrum Disorder"
209,62,1,"Nurse's Role"
210,1,1,"Nutrition Habits in Multiple Sclerosis"
211,2,1,"Nystagmus, Acquired"
212,1,1,"Nystagmus, Congenital"
213,5595,1,"Obesity"
214,874,1,"Obstructive Sleep Apnea"
215,1,1,"Obstructive Sleep Apnea-hypopnea in Multiple Sclerosis Patients"
216,3,1,"Optic Nerve"
217,51,15,"Optic Neuritis"
218,914,1,"Osteoporosis"
219,383,1,"Overactive Bladder"
220,61,1,"Overactive Bladder Syndrome"
221,13,1,"Overactive Detrusor"
222,286,1,"Oxidative Stress"
223,1,1,"Paediatric Multiple Sclerosis and Neuromyelitis Optica Spectrum Disorder"
224,3149,7,"Pain"
225,45,1,"Pain, Neuropathic"
226,4,1,"Paralytic Stroke"
227,1449,13,"Parkinson Disease"
228,1086,3,"Parkinson's Disease"
229,33,1,"Patient Engagement"
230,7,7,"Pediatric Multiple Sclerosis"
231,1,1,"Pediatric Onset Multiple Sclerosis"
232,1,1,"Pediatric Onset Multiple Sclerosis (POMS)"
233,1,1,"Pendular Nystagmus Patients With Multiple Sclerosis"
234,138,1,"Peripheral Neuropathy"
235,873,2,"Physical Activity"
236,51,2,"Physical Therapy"
237,28,1,"Positron-Emission Tomography"
238,31,1,"Posttraumatic Stress Disorders"
239,40,1,"Postural Balance"
240,1221,2,"Pregnancy"
241,153,1,"Pregnancy Complications"
242,376,1,"Pregnancy Related"
243,1,1,"Prenatal Exposure Delayed Effects"
244,27,26,"Primary Progressive Multiple Sclerosis"
245,1,1,"Primary-progressive Multiple Sclerosis"
246,11,1,"Progressive Multifocal Leukoencephalopathy"
247,23,22,"Progressive Multiple Sclerosis"
248,1,1,"Progressive Multiple Sclerosis (PMS)"
249,2,2,"Progressive Relapsing Multiple Sclerosis"
250,157,1,"Psychological Distress"
251,1281,1,"Quality of Life"
252,5,2,"Radiologically Isolated Syndrome"
253,1,1,"Radiologically Isolated Syndrome (RIS)"
254,8,1,"Recurrent Urinary Tract Infections"
255,225,6,"Rehabilitation"
256,61,3,"Relapse"
257,4,4,"Relapse Remitting Multiple Sclerosis"
258,1,1,"Relapse-Remitting Multiple Sclerosis"
259,1,1,"Relapse-remitting Multiple Sclerosis"
260,10,10,"Relapsing Forms of Multiple Sclerosis"
261,1,1,"Relapsing Multiple Sclerorsis"
262,54,54,"Relapsing Multiple Sclerosis"
263,7,7,"Relapsing Multiple Sclerosis (RMS)"
264,1,1,"RELAPSING REMITTING MULTIPLE SCLEROSIS"
265,104,97,"Relapsing Remitting Multiple Sclerosis"
266,7,7,"Relapsing Remitting Multiple Sclerosis (RRMS)"
267,1,1,"Relapsing Remitting Multiple Sclerosis RRMS"
268,1,1,"Relapsing- Remitting Multiple Sclerosis"
269,5,5,"Relapsing-Remitting"
270,76,75,"Relapsing-Remitting Multiple Sclerosis"
271,39,39,"Relapsing-remitting Multiple Sclerosis"
272,5,5,"Relapsing-Remitting Multiple Sclerosis (RRMS)"
273,1,1,"Relapsing-remitting Multiple Sclerosis (RRMS)"
274,1,1,"Relapsing-remitting Multiple Sclerosis (rrMS)"
275,1,1,"Remitting-Relapsing Multiple Sclerosis"
276,24,1,"Respiration Disorders"
277,4,1,"Respiratory; Disorder, Functional, Impaired"
278,152,2,"Restless Legs Syndrome"
279,2033,1,"Rheumatoid Arthritis"
280,3,2,"RRMS"
281,8,5,"Sclerosis, Multiple"
282,1,1,"Secondary Progress Multiple Sclerosis"
283,41,39,"Secondary Progressive Multiple Sclerosis"
284,4,4,"Secondary Progressive Multiple Sclerosis (SPMS)"
285,1,1,"Secondary Progressive Multiple Sclerosis With Inflammatory Disease Activity"
286,5,4,"Secondary-progressive Multiple Sclerosis"
287,99,1,"Self Efficacy"
288,132,2,"Sexual Dysfunction"
289,3,1,"Sexual Dysfunctions"
290,1,1,"Simvastatin Multiple Sclerosis"
291,265,1,"Sleep Apnea"
292,1,1,"Social and Territorial Inequalities"
293,74,13,"Spasticity"
294,1,1,"Spasticity Due to Multiple Sclerosis"
295,1,1,"Spasticity in Participants With Multiple Sclerosis"
296,1,1,"Spasticity in People With Multiple Sclerosis"
297,1,1,"Spasticity With Multiple Sclerosis"
298,1,1,"Spasticity, Multiple Sclerosis, Stroke, Trauma"
299,44,4,"Spasticity, Muscle"
300,3,1,"Sperm"
301,35,1,"Spinal Cord Diseases"
302,560,5,"Spinal Cord Injuries"
303,479,3,"Spinal Cord Injury"
304,590,1,"Stress"
305,240,1,"Stress, Psychological"
306,3123,17,"Stroke"
307,1139,1,"Surgery"
308,205,1,"Systemic Sclerosis"
309,1,1,"TBI (Traumatic Brain Injury) or MS (Multiple Sclerosis)"
310,33,1,"Telerehabilitation"
311,21,1,"Testosterone Deficiency"
312,12,1,"Transverse Myelitis"
313,14,1,"Trauma, Brain"
314,751,1,"Traumatic Brain Injury"
315,18,1,"Treatment Adherence"
316,28,1,"Tremor"
317,65,2,"Trigeminal Neuralgia"
318,32,1,"Upper Extremity Paresis"
319,18,1,"Urinary Bladder Diseases"
320,19,2,"Urinary Bladder, Neurogenic"
321,404,3,"Urinary Incontinence"
322,59,1,"Urinary Incontinence, Stress"
323,37,1,"Urinary Incontinence, Urge"
324,1,1,"Urinary Incontinence;"
325,239,1,"Urinary Tract Infections"
326,9,1,"Urodynamics"
327,13,1,"Uveitis, Intermediate"
328,25,1,"Vaccine Response Impaired"
329,73,1,"Venous Insufficiency"
330,523,2,"Vitamin D Deficiency"
331,12,1,"Voiding Disorders"
332,13,1,"Voiding Dysfunction"
333,4,3,"Walking Impairment"
334,19,1,"Walking, Difficulty"
335,16,1,"Weakness"